Question ID,Category,Question,Reference Answer,Source Documents
Q1,Factual,How many paid sick days do employees receive per calendar year?,"10 paid sick days, not carried over year to year.",02_hr_policy_manual.docx
Q2,Factual,What is the guaranteed monthly uptime in the Acme Cloud Solutions SLA?,99.95% monthly uptime.,04_vendor_contract_acme.pdf
Q3,Factual,What diagnostic code indicates encoder signal loss on the HX-7200?,E-204.,07_product_technical_manual.pdf
Q4,Factual,What was Meridian Dynamics Corp's Q3 revenue?,"$108.4 million, up 6.2% year-over-year.",06_quarterly_financial_report_q3.xlsx
Q5,Factual,How often must privileged/administrative account passwords be rotated?,Every 90 days.,03_it_security_policy.docx
Q6,Semantic-Paraphrased,"If I've been at the company for four years, how much vacation do I get?",20 days per year (Years 3-5 tier).,02_hr_policy_manual.docx
Q7,Semantic-Paraphrased,What happens if the actuator controller gets too hot?,"Above 70C internal temperature, motor output is automatically disabled and error E-101 displays until it cools below 60C.",07_product_technical_manual.pdf
Q8,Semantic-Paraphrased,Roughly how much of its yearly Helios budget had the company spent by the third quarter?,68% of the full-year $9.8 million Project Helios budget.,06_quarterly_financial_report_q3.xlsx
Q9,Semantic-Paraphrased,Is it okay to keep using the controller if I skip installing the physical safety switches?,"No - without hard limit switches wired to SI1-SI4, the unit loses its Category 3 safety rating and must be treated as Category B (no independent safety rating).",07_product_technical_manual.pdf
Q10,Semantic-Paraphrased,Who signs off if we want to spend a lot of money on equipment - like over a quarter million dollars?,"Tom Reyes, CEO (capital expenditures above $250,000 require his sign-off).",05_project_approval_workflow.docx;01_company_overview.docx
Q11,Multi-Hop-Relational,"Who is the director that must approve purchases from the vendor supplying Project Helios's cloud infrastructure, and who does that director report to?","David Osei (Director of IT Security) must approve, because Acme Cloud Solutions is a Tier 1 vendor; he reports to Marcus Webb, VP of Engineering.",08_supply_chain_network.xlsx;03_it_security_policy.docx;09_org_chart_and_roles.xlsx
Q12,Multi-Hop-Relational,"For the vendor whose contract was amended to expand storage for Project Helios's Phase 2, what full approval chain was used and what are those approvers' job titles?","Acme Cloud Solutions' Amendment No. 2; approval chain was Priya Raman (Head of Procurement) -> Sarah Chen (CFO) -> Tom Reyes (CEO).",04_vendor_contract_acme.pdf;09_org_chart_and_roles.xlsx
Q13,Multi-Hop-Relational,"Which business unit owns the project that depends on Bright Steel Supply, and who leads that business unit's engineering work?","Bright Steel Supply supports Project Helios, which is owned by the Engineering organization led by Marcus Webb, VP of Engineering.",08_supply_chain_network.xlsx;01_company_overview.docx
Q14,Multi-Hop-Relational,"Who is responsible for the annual review of the vendor Project Helios is most dependent on for a single point of failure, and who do they report to?","Acme Cloud Solutions is the flagged single-point-of-failure vendor; its annual review is conducted jointly by David Osei (reports to Marcus Webb) and Aisha Malik (reports to Elena Petrova).",08_supply_chain_network.xlsx;09_org_chart_and_roles.xlsx
Q15,Multi-Hop-Relational,"If Meridian Dynamics wants to sign a brand-new contract with a Tier 1 vendor for $200,000, list every person who must approve it, in order.","(1) Elena Petrova, General Counsel - new-contract legal review; (2) Priya Raman, Head of Procurement; (3) David Osei, Director of IT Security - required for Tier 1 vendor; (4) Sarah Chen, CFO; (5) Tom Reyes, CEO.",05_project_approval_workflow.docx;03_it_security_policy.docx;09_org_chart_and_roles.xlsx
Q16,Multi-Hop-Relational,"Which cost center funds Project Atlas, which vendor handles its logistics, and what tier is that vendor under the security policy?","Cost Center CC-4489 funds Project Atlas; Vertex Logistics handles logistics; it is a Tier 3 (Low Risk) vendor.",06_quarterly_financial_report_q3.xlsx;08_supply_chain_network.xlsx
Q17,Multi-Hop-Relational,"Who authored the quarterly financial report, and whose organization do they belong to?","Linda Fischer, VP of Finance Operations, who reports to Sarah Chen (CFO).",06_quarterly_financial_report_q3.xlsx;09_org_chart_and_roles.xlsx
Q18,Structured,"According to Section 4.2 of the IT Security Policy, what is required to store financial reports and vendor contracts?","Classified as Confidential; requires encryption at rest and in transit, with access limited to named individuals or roles.",03_it_security_policy.docx
Q19,Structured,"Under Section 3.3 of the HR manual, how much is the annual professional development budget?","$1,500 USD (or local currency equivalent), subject to manager approval.",02_hr_policy_manual.docx
Q20,Structured,"Per Article 6 of the Acme Cloud Solutions contract, what notice is required for termination for convenience versus material breach?","90 days for termination for convenience (Section 6.2); 30 days with cure opportunity for material breach (Section 6.1).",04_vendor_contract_acme.pdf
