Question ID,Category,Method,R_q,G_q,A_q,Latency (s),Retrieval Latency (s),Generation Latency (s),Input Tokens,Output Tokens,Cost ($),Retrieved Sources,Missing Sources,Generated Answer,Reference Answer,Notes
Q1,Factual,Vectorless,1,1,1,0.749,0.001,0.746,966,71,0.000188,02_hr_policy_manual.docx,,Employees receive **10 paid sick days per calendar year**.,"10 paid sick days, not carried over year to year.",OK
Q2,Factual,Vectorless,1,1,1,0.479,0.001,0.477,1177,119,0.000248,04_vendor_contract_acme.pdf; 05_project_approval_workflow.docx; 01_company_overview.docx; 03_it_security_policy.docx; 02_hr_policy_manual.docx,,99.95% monthly uptime.,99.95% monthly uptime.,OK
Q3,Factual,Vectorless,1,1,1,0.51,0.001,0.508,1078,66,0.000201,07_product_technical_manual.pdf; 08_supply_chain_network.xlsx,,E-204.,E-204.,OK
Q4,Factual,Vectorless,1,1,1,0.489,0.001,0.486,1199,119,0.000251,06_quarterly_financial_report_q3.xlsx; 04_vendor_contract_acme.pdf; 01_company_overview.docx; 08_supply_chain_network.xlsx; 03_it_security_policy.docx,,Meridian Dynamics Corp's Q3 revenue was $108.4 million.,"$108.4 million, up 6.2% year-over-year.",OK
Q5,Factual,Vectorless,1,1,1,0.552,0.001,0.551,546,90,0.000136,03_it_security_policy.docx,,Privileged/administrative account passwords must be rotated every 90 days.,Every 90 days.,OK
Q6,Semantic-Paraphrased,Vectorless,1,1,1,0.678,0.001,0.675,1317,132,0.000277,07_product_technical_manual.pdf; 02_hr_policy_manual.docx; 01_company_overview.docx; 03_it_security_policy.docx,,You accrue **20 days of PTO per year**.,20 days per year (Years 3-5 tier).,OK
Q7,Semantic-Paraphrased,Vectorless,1,1,1,0.786,0.002,0.783,1197,166,0.000279,07_product_technical_manual.pdf; 08_supply_chain_network.xlsx; 03_it_security_policy.docx,,"If the internal temperature exceeds 70 °C, the HX‑7200 automatically disables motor output and displays error code E‑101. The controller remains disabled until the temperature falls below 60 °C.","Above 70C internal temperature, motor output is automatically disabled and error E-101 displays until it cools below 60C.",OK
Q8,Semantic-Paraphrased,Vectorless,0,1,0,8.628,0.001,8.626,1229,98,0.000243,03_it_security_policy.docx; 05_project_approval_workflow.docx; 01_company_overview.docx; 02_hr_policy_manual.docx; 07_product_technical_manual.pdf,06_quarterly_financial_report_q3.xlsx,Information not found in the provided documents.,68% of the full-year $9.8 million Project Helios budget.,Some expected sources were not retrieved.
Q9,Semantic-Paraphrased,Vectorless,1,1,1,9.99,0.001,9.988,1114,267,0.000327,07_product_technical_manual.pdf; 08_supply_chain_network.xlsx,,No. Hard‑limit (physical) safety switches are mandatory. Without them the HX‑7200 loses its Category 3 safety rating (it must be treated as Category B) and the warranty is void. Therefore the controller should not be used if the physical safety switches are skipped.,"No - without hard limit switches wired to SI1-SI4, the unit loses its Category 3 safety rating and must be treated as Category B (no independent safety rating).",OK
Q10,Semantic-Paraphrased,Vectorless,0,1,1,11.772,0.001,11.77,1382,134,0.000288,06_quarterly_financial_report_q3.xlsx; 01_company_overview.docx; 02_hr_policy_manual.docx; 07_product_technical_manual.pdf,05_project_approval_workflow.docx,"Tom Reyes, the Chief Executive Officer, holds the ultimate sign‑off authority for all capital expenditures above $250,000.","Tom Reyes, CEO (capital expenditures above $250,000 require his sign-off).",Some expected sources were not retrieved.
